train_size,hidden_size,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
750,64,0.1,6,036679347054867084,57933417.0937985,1.1920930376163597e-7,5.022293976253422e-7
1000,32,0.01,4,03683966569733954,33024326.063193552,1.1920930376163597e-7,0.7147701978683472
1750,258,0.1,4,038075665061365505,2679630.25,1.1920928955078125e-7,1.1920930376163597e-7
1250,128,0.03,0,03825613899144298,14364943.287565317,1.1920930376163597e-7,0.000015663208614569157
1750,16,1,8,038761104232593824,1.329267519807491,0.264995276927948,0.2733103632926941
1000,258,0.1,5,03923800156456214,31389720.25805375,1.1920930376163597e-7,1.1920930376163597e-7
1750,64,0.3,7,041517424138886816,176.74315462757673,1.1920928955078125e-7,1.8824341907475173e-7
1250,258,0.03,1,041808697538973205,25945056.9071082,1.1920930376163597e-7,0.00024554182891733944
1750,128,0.3,4,04323361390361247,867115.0779814906,1.1920928955078125e-7,1.2161733309312694e-7
1250,64,1,8,04410480214498491,14.294976454737556,0.008416489697992802,0.06404853612184525
1000,258,0.01,8,04444622539130538,35643755.7509332,1.1920930376163597e-7,0.7015025019645691
1000,16,1,3,04499270325359184,2.5132184917194533,0.32104265689849854,0.7022261023521423
1750,16,1,2,04570169490708853,1.3512539824987682,0.24008192121982574,0.2654242217540741
750,32,0.1,8,04664638894070072,50508409.97892833,1.1920930376163597e-7,1.661300927935372e-7
1750,16,1,4,047069352388952934,1.3903791978933024,0.22277513146400452,0.23515111207962036
1500,64,1,0,048789163755741494,9.115171916155527,0.008445730432868004,0.04203731566667557
1750,258,0.3,5,04918771219886042,1177359,1.1920928955078125e-7,1.2168885632490856e-7
1750,64,0.1,3,05009095262999941,6212382.3448752565,1.1920928955078125e-7,1.1920930376163597e-7
1500,16,0.1,2,05045072009248053,9202.53472334394,1.1920930376163597e-7,1.1920930376163597e-7
1500,32,0.1,1,05118401653998539,1145085.1393722708,1.1920930376163597e-7,1.1920930376163597e-7
1250,64,1,4,05450976944805097,17.952586714209787,0.010337007232010365,0.10247757285833359
1250,128,1,8,054759466814316204,6236713.887903061,1.2030602647428168e-7,0.0021347706206142902
1750,64,0.03,1,05539764119437196,2841275,1.1920928955078125e-7,2.7544535896595335e-7
1000,258,0.3,4,056275236962408104,22670743.297436796,1.1920930376163597e-7,1.280904058376109e-7
750,64,0.3,0,05830672791681346,49452798.10476707,1.1920930376163597e-7,0.000031145686079980806
1500,16,0.1,8,0590048703444328,2.5981432678528704,1.1920930376163597e-7,1.1924507248295413e-7
750,258,0.03,1,0596686618914859,53898449.57480412,1.1920930376163597e-7,0.7099229097366333
750,128,0.03,1,060564305927853,54508613.50206691,1.1920930376163597e-7,0.7073923349380493
750,258,1,6,061496777325398266,30425142.373040393,1.1920930376163597e-7,0.46614110469818115
1500,128,0.01,5,062035859996668496,3912138.2836367744,1.1920930376163597e-7,0.11166112869977951
1750,32,0.1,6,06356046895582035,11343.481907781148,1.1920928955078125e-7,1.1920930376163597e-7
1750,16,0.1,6,06365761416754778,13486.13949641935,1.1920928955078125e-7,1.2077094879714423e-7
1750,32,0.1,4,06485485475483355,5449.71533203125,1.1920928955078125e-7,1.1920930376163597e-7
1750,258,0.03,6,06566575617254988,6755364.5,1.1920928955078125e-7,0.0000018226276097266236
1500,258,0.03,6,06581707128712166,16015476.090806473,1.1920930376163597e-7,0.00001411999710398959
750,258,0.3,8,06728814748569811,43738518.78596225,1.1920930376163597e-7,1.5262367014656775e-7
1250,32,0.3,7,06823080718347019,234128.45432206264,1.1920930376163597e-7,1.8928054146272189e-7
1000,258,0.03,8,06839678881954214,31263938.27304813,1.1920930376163597e-7,0.0019675944931805134
1500,128,1,6,06998305761225831,938113.4481898047,1.1948746703183133e-7,0.000012298725778236985
1750,258,0.03,2,07076736129187489,5874470,1.1920928955078125e-7,0.0000018788266515912255
750,16,1,7,07259936340696738,2.27863169407445,0.34391698241233826,0.7026597261428833
750,128,0.01,7,07300136305957472,56772505.23218998,1.1920930376163597e-7,0.6996764540672302
1750,32,0.3,4,0732248716528281,6.566014303429428,1.1920928955078125e-7,1.2657643821967213e-7
1250,32,1,8,07342439028882086,3.3594503775151097,0.07475267350673676,0.17869870364665985
1000,32,0.03,1,07546615785691146,32198244.16167019,1.1920930376163597e-7,0.000049686652346281335
1000,32,0.3,0,07576471845239874,37609631.62275841,1.1920930376163597e-7,0.7049493193626404
1500,32,0.3,0,0758077099083172,152.8847286029833,1.1920930376163597e-7,2.0301345671214222e-7
1750,128,0.03,1,07690015551684604,7210251,1.1920928955078125e-7,8.697764997123159e-7
1750,16,0.1,1,07927950294299013,155.83847045898438,1.1920928955078125e-7,1.1920930376163597e-7
1750,16,1,3,07931456024866013,1.4564666978294873,0.24307546019554138,0.29650089144706726
1000,16,0.03,4,08012127266290547,1357733.0753638784,1.1920930376163597e-7,1.8489369324470317e-7
1000,128,0.1,7,0802531527059922,47299118.3615057,1.1920930376163597e-7,1.2006761096472474e-7
750,64,1,7,08046915201036364,12.420687512816864,0.06688544899225235,0.7022056579589844
1750,32,0.01,3,0807456480014348,71259.40625,1.1920928955078125e-7,0.000014293528693087865
750,258,0.01,4,08119102630361819,51665561.84098508,1.1920930376163597e-7,0.7238073348999023
1250,32,0.03,2,08218790442087343,8942333.49725426,1.1920930376163597e-7,2.5923270641214913e-7
1750,64,0.1,0,08226728167050057,5966921.967737992,1.1920928955078125e-7,1.1920930376163597e-7
1500,128,1,3,08366329163444852,350236.10762715695,1.1924903731141967e-7,0.000005259123099676799
1250,258,0.03,8,08470386708969724,16327066.053662056,1.1920930376163597e-7,0.000021984189515933394
1250,64,0.03,8,08502851028996772,26337494.860325947,1.1920930376163597e-7,0.00002316613245056942
750,258,0.3,2,0851696705244046,44094578.743516594,1.1920930376163597e-7,1.8746855801055062e-7
1000,16,0.01,4,08630256356037092,12996963.370169431,1.1920930376163597e-7,0.2677242159843445
750,64,0.3,4,09053585249812757,50099882.02762866,1.1920930376163597e-7,0.028804704546928406
1000,16,0.03,0,09331841641105265,26332548.838174257,2.8485069947237207e-7,0.6957817077636719
1500,258,0.1,6,09667962838388522,14160990.311878406,1.1920930376163597e-7,1.1920930376163597e-7
1750,16,0.03,8,0971871756758359,690.7308687965862,1.1920928955078125e-7,1.1923314957584807e-7
1500,32,1,4,0972663425593725,1.7802786162782702,0.09569593518972397,0.1027163565158844
1250,16,0.1,6,0977405560014678,1292.3280930127987,1.1920930376163597e-7,1.1920930376163597e-7
1750,32,1,5,1002207914868779,1.6497070569263568,0.0492677167057991,0.05205749347805977
1500,32,0.03,6,10153488493619844,518301.434795707,1.1920930376163597e-7,1.3728143244406965e-7
1750,258,0.3,0,10226235232464131,1307473.125,1.1920928955078125e-7,1.20878240750244e-7
1500,128,0.03,1,10297310448921682,10660529.729165824,1.1920930376163597e-7,0.0000017934791003426653
750,128,1,4,10416634629283239,28197621.922577564,1.199245502903068e-7,0.6606269478797913
1500,258,0.3,8,10583459874613044,4011713.521766481,1.1920930376163597e-7,1.2400151661040582e-7
1750,32,0.03,1,10601481218040754,30743.138671875,1.1920928955078125e-7,1.193523644360539e-7
1000,128,0.1,2,10675966891794675,27716550.695929684,1.1920930376163597e-7,1.1920930376163597e-7
1250,16,0.03,3,10936872768115902,1950.8647627233058,1.1920930376163597e-7,1.1923314957584807e-7
1750,32,0.3,8,11019887156309449,45.593653271034654,1.1927741638828593e-7,1.7634633309171477e-7
1000,32,1,7,11105083077274158,4.370348106812571,0.08794834464788437,0.30650776624679565
1500,258,0.01,7,11259425718252103,5739918.315748416,1.1920930376163597e-7,0.15935018658638
1750,128,1,3,11275885592610158,42297.71300704043,1.192433529695336e-7,3.459228139490733e-7
1750,64,0.3,2,11288325879830663,338463.3985871352,1.1920928955078125e-7,1.2227299350797693e-7
1500,64,0.3,2,11338137540677884,4427111.875246637,1.1920930376163597e-7,1.5282633114566124e-7
1000,16,0.1,2,11412284145998486,936749.0612944409,1.1920930376163597e-7,1.1925699539006018e-7
1250,32,0.01,2,11432664956654615,3380951.8469591322,1.1920930376163597e-7,0.04501226544380188
1500,258,0.01,1,11448619486643674,24545735.07392036,1.1920930376163597e-7,0.7036459445953369
750,32,0.01,5,11450850641519128,52089905.790399335,1.1920930376163597e-7,0.6997984051704407
750,64,1,8,11525243999008261,367.64518483084476,0.005012317094951868,0.7079533934593201
1500,128,0.3,1,1153792994225129,5333784.864163295,1.1920930376163597e-7,1.2574197683079547e-7
1250,64,1,0,11720734290094326,16.051331813911716,0.006555525120347738,0.04424487054347992
1250,16,0.3,1,11765884633988422,3.5823764650202468,1.1920930376163597e-7,1.365543056408569e-7
1750,64,1,1,11779151813981292,7.454415148370297,0.0020809019915759563,0.0024451969657093287
1500,64,1,2,118380469697553,15.129271224664862,0.007926437072455883,0.07514569908380508
1500,64,0.1,5,1203113693690252,5831672.804810428,1.1920930376163597e-7,1.1920930376163597e-7
1750,32,0.01,4,12033278361975419,81484.75,1.1920928955078125e-7,0.0000037874560803174973
1250,32,0.03,8,12128998463163543,3967529.2770336536,1.1920930376163597e-7,2.1252641602131916e-7
1000,16,1,2,1215992448891885,2.112659862211543,0.24676227569580078,0.393106609582901
1500,32,0.1,5,12241405255531979,69994.22443893483,1.1920930376163597e-7,1.1920930376163597e-7
750,32,0.03,4,12260402339475263,40777399.13895522,1.1920930376163597e-7,0.07761024683713913
750,128,1,5,12271777774856196,28753836.83091381,1.1952718637076032e-7,0.6176275014877319
1250,128,0.03,4,12822859672667464,16009862.091475714,1.1920930376163597e-7,0.000018814434952219017
1750,64,0.03,6,12846324769342687,3271643,1.1920928955078125e-7,2.8872534585389076e-7
1000,64,0.3,5,12860246489816463,28261802.630930588,1.1920930376163597e-7,4.912379836241598e-7
1500,16,1,8,12974280142343575,1.4866578735842495,0.31713882088661194,0.41216203570365906
1750,258,0.01,1,13074499677293827,7871479.5,1.1920928955078125e-7,0.3159145414829254
1250,128,0.1,1,13129091775397206,25343000.97887886,1.1920930376163597e-7,1.1920930376163597e-7
1000,16,1,0,13181598764282465,2.333922980698608,0.2665228545665741,0.5803449153900146
1500,258,0.1,1,13265659039201916,10354589.76563671,1.1920930376163597e-7,1.1920930376163597e-7
1250,258,0.03,2,13285123043153535,16703276.008814333,1.1920930376163597e-7,0.00009594190487405285
1000,32,1,8,13335665460425739,4.893592193251988,0.11319127678871155,0.5406928658485413
1250,64,0.1,5,13452424590871448,16105840.080034247,1.1920930376163597e-7,1.1920930376163597e-7
1500,32,0.01,1,135407005468415,57979.05558835797,1.1920930376163597e-7,0.000019851842807838693
750,16,0.03,1,13556572181646387,40415555.18209038,1.1920930376163597e-7,0.7072805762290955
1500,16,0.3,8,13600737282682895,1.830701206083616,1.1920930376163597e-7,1.2129547144468233e-7
1750,16,0.01,8,1367176209324803,74.33513641357422,1.1920928955078125e-7,1.417041204376801e-7
1750,16,1,5,13735631181556285,1.3572050744466368,0.3796481788158417,0.4818119406700134
750,258,0.3,1,13742451388467536,51053825.91390968,1.1920930376163597e-7,1.6430618643425987e-7
1000,16,0.01,3,13756077296606328,4266.964823369405,1.1920930376163597e-7,7.100629204614961e-7
1750,32,0.03,0,13764967326108846,20605.5703125,1.1920928955078125e-7,1.2049676456626912e-7
1500,16,0.3,5,13806117434126386,5.386442462292502,1.1960666768118244e-7,1.236558091477491e-7
1750,64,0.1,7,13833340435702757,48707.574336165024,1.1920928955078125e-7,1.1920930376163597e-7
1500,258,0.3,1,13890807004055838,13306410.413752269,1.1920930376163597e-7,1.2409688565639954e-7
1750,128,0.1,3,13914450526830147,7666113.5,1.1920928955078125e-7,1.1920930376163597e-7
1000,16,0.01,8,1394403013761547,2831.3701220800444,0.001386413350701332,0.6938082575798035
750,128,0.03,6,14027855152657753,56370633.28009686,1.1920930376163597e-7,0.7035865187644958
1250,64,0.03,2,14248679990154223,17551203.90773345,1.1920930376163597e-7,0.0000030861756386002526
750,32,1,8,1432435898717448,9.955768660183535,0.09896288067102432,0.697790801525116
1000,258,0.1,6,14448789747735002,40035195.22743282,1.1920930376163597e-7,1.1920930376163597e-7
750,16,1,6,14457371151380338,3.1938169816037503,0.2921655774116516,0.708936870098114
1250,128,0.3,8,14549027095517364,17768083.881879345,1.1920930376163597e-7,1.3352634198326996e-7
1250,32,0.03,3,14556848300349434,2760667.0030846703,1.1920930376163597e-7,2.2904966101577884e-7
750,32,0.1,1,14564192695800315,42242610.96428836,1.1920930376163597e-7,2.130270360112263e-7
750,64,1,6,14572621960342813,283.1906256616125,0.006151924841105938,0.6991730332374573
1250,258,0.01,5,14614911908601036,21811245.39989693,1.1920930376163597e-7,0.7100884318351746
1000,32,0.3,7,14802639133748974,18170076.611840278,1.1920930376163597e-7,3.1682256462772784e-7
750,128,0.01,8,14890312151778562,50297518.00406861,1.1920930376163597e-7,0.704590916633606
1250,64,0.03,5,15209480546917808,30275290.39090414,1.1920930376163597e-7,0.00011204831389477476
1000,128,1,6,15252702991676736,16796082.56644867,1.2177231667465094e-7,0.2550012469291687
1000,16,0.3,3,1535039387298046,579.8867642028976,1.1926891829716624e-7,3.1261717481356754e-7
1250,64,0.01,1,15396175535114032,27548472.71596614,1.1920930376163597e-7,0.7010106444358826
1500,64,0.01,8,15439370222593363,7686693.583674719,1.1920930376163597e-7,0.258243203163147
1250,128,0.3,5,15690257920328177,11330389.649312299,1.1920930376163597e-7,1.2731554477340978e-7
1750,16,0.3,4,15736432950261858,1.4847247883221586,1.1920928955078125e-7,1.2128354853757628e-7
1500,64,0.3,3,15835103425723673,4671255.52469322,1.1920930376163597e-7,1.4089347644130612e-7
1250,64,0.3,8,15885766487515873,7759243.575026086,1.1920930376163597e-7,1.4108421453329356e-7
750,16,0.03,8,16033663948199872,45172390.61503141,1.1920930376163597e-7,0.7026324272155762
1500,64,0.03,7,16040794044586593,883161.2697189725,1.1920930376163597e-7,1.5465023750493856e-7
1250,258,0.3,8,1607415247143945,13428589.399187397,1.1920930376163597e-7,1.2786389902430528e-7
750,128,0.03,2,1617577271038474,53213385.6564701,1.1920930376163597e-7,0.42303240299224854
1000,258,0.03,2,16234584618866954,33790435.97186613,1.1920930376163597e-7,0.004443947691470385
1250,32,0.01,3,16412042682537809,12254724.539122993,1.1920930376163597e-7,0.3102050721645355
750,64,0.3,2,16439612114666124,43223346.84737553,1.1920930376163597e-7,8.234035817622498e-7
750,16,1,0,1645895716259863,3.400842823161926,0.256374716758728,0.6958028078079224
750,258,0.3,4,16589404796114693,48806422.181821086,1.1920930376163597e-7,1.722336122611523e-7
750,258,1,8,16630259342276565,26389760.85409536,1.1920930376163597e-7,0.604365885257721
1750,64,0.01,7,16679789711098747,120340.9140625,1.1920928955078125e-7,0.000024447712348774076
1000,32,0.01,8,16683658040019356,29383886.497167766,1.1920930376163597e-7,0.698822021484375
750,64,0.01,2,16728024048293844,53637157.605952546,1.1920930376163597e-7,0.6996391415596008
750,128,0.03,5,16730043168608233,51198205.89669825,1.1920930376163597e-7,0.4781329035758972
1500,258,1,7,1674377347709941,1104552.7230843606,1.1920930376163597e-7,0.000009305992534791585
1250,16,0.03,0,16848207649934055,223537.3525201143,1.1920930376163597e-7,1.1996033322247968e-7
750,258,0.03,2,16860633735154618,48675626.197413184,1.1920930376163597e-7,0.45217469334602356
1750,32,1,6,16999309760552728,1.557528738153067,0.043405115604400635,0.046191807836294174
1750,258,0.01,8,17014767647260798,2651811.75,1.1920928955078125e-7,0.04770242050290108
1000,64,0.1,7,1707798684515629,4654476.44514317,1.1920930376163597e-7,1.1920930376163597e-7
1500,258,0.3,2,17085135604781998,4162695.7537679966,1.1920930376163597e-7,1.2071134847246867e-7
1000,128,0.01,6,17111206986496352,44419626.70476786,1.1920930376163597e-7,0.7035747170448303
1500,32,0.3,4,17122277418385978,19.741356514219277,1.192887850720581e-7,1.9397738526549801e-7
1250,128,0.01,4,17313099213939742,12807788.473192636,1.1920930376163597e-7,0.6105380654335022
1250,258,0.01,6,17472587207722412,15528964.148803215,1.1920930376163597e-7,0.7134817242622375
1500,32,0.03,8,17783203554312943,86269.59127836331,1.1920930376163597e-7,1.242041776094993e-7
750,258,0.1,8,1782105707171403,47806310.30104371,1.1920930376163597e-7,1.332402490561435e-7
1250,32,1,3,18059425447832445,3.159402203759317,0.08689018338918686,0.21585038304328918
1250,16,0.3,8,18128759342985556,595.3324032039483,2.1409992712051462e-7,9.497674682279467e-7
1000,16,0.1,4,18135885481882785,3225.670057000412,1.1920930376163597e-7,1.1920930376163597e-7
1500,16,0.01,6,18261155808188612,122900.47877489822,1.1920930376163597e-7,0.0002021003601839766
1500,258,0.1,4,18583664368592723,17350039.931714065,1.1920930376163597e-7,1.1920930376163597e-7
1000,258,0.3,7,18742402868889363,24021535.136409864,1.1920930376163597e-7,1.289367901335936e-7
1750,64,0.03,0,18800143947624937,1421423.375,1.1920928955078125e-7,1.7924314477113512e-7
1000,16,0.3,1,18906646696759477,48.999401345075405,6.570818413820234e-7,7.854703767407045e-7
1000,16,1,1,19028304498393278,2.7160355030596954,0.30418241024017334,0.7009376287460327
1000,258,0.1,2,1907699766577955,35114991.81396677,1.1920930376163597e-7,1.1922122666874202e-7
1250,16,0.3,3,19177160774977198,6.998290926048228,1.1920930376163597e-7,1.2352468559129193e-7
1000,32,1,1,19184152844769775,6.797777679778806,0.1606968492269516,0.7049963474273682
1250,64,0.01,2,19228538510640725,18817545.75677374,1.1920930376163597e-7,0.7002570033073425
750,128,1,2,19300131663783016,28157810.20464489,1.214345388689253e-7,0.7101116180419922
1000,128,0.3,2,1941555589660453,22662513.29841789,1.1920930376163597e-7,1.3015272770644515e-7
750,16,1,8,19420830808420053,2.713591992436389,0.29095494747161865,0.7025619745254517
1500,64,0.1,2,19536672512467945,12577049.500698864,1.1920930376163597e-7,1.1920930376163597e-7
1750,128,0.03,3,19788478478067273,7953755,1.1920928955078125e-7,0.000001996303581108805
1750,16,0.03,3,19820871595951972,75190.06460865476,1.1920928955078125e-7,1.1930467280762969e-7
1750,32,0.1,7,1982654933153819,36699.84765625,1.1920928955078125e-7,1.1920930376163597e-7
1750,128,0.01,7,19930234096833888,11677001,1.1920928955078125e-7,0.5074325799942017
1250,32,0.01,7,2001619188940199,16023245.089880336,1.1920930376163597e-7,0.5309839844703674
1250,258,0.1,5,20053021439529095,22594793.30649074,1.1920930376163597e-7,1.1920930376163597e-7
1750,64,0.03,4,203157453170839,1637930.5,1.1920928955078125e-7,1.7592913081898587e-7
1750,16,0.3,6,20357049490671864,33.83852808513449,1.1927741638828593e-7,1.2719632991320395e-7
750,32,1,1,2061020525585857,9.36363753843581,0.08631725609302521,0.7029808163642883
1250,32,0.03,6,20627889551543988,804910.1684710981,1.1920930376163597e-7,1.3633967910209321e-7
1250,128,0.1,2,2083416327951746,13499830.39069481,1.1920930376163597e-7,1.1920930376163597e-7
1750,64,0.3,3,20885356768099972,302039.73458453163,1.1920928955078125e-7,1.3086797423511598e-7
1500,32,0.03,2,2115297042978006,351062.14183551935,1.1920930376163597e-7,1.3561250966631633e-7
1750,64,0.01,2,21355412519037564,3535611.5,1.1920928955078125e-7,0.0762004479765892
750,64,1,5,21385096119739244,360.82405260994193,0.004957877565175295,0.7006378769874573
1250,64,1,3,21428928129078229,16.885343144809912,0.015480843372642994,0.2287251353263855
1750,258,0.3,6,2151205439568682,1417868.75,1.1920928955078125e-7,1.2264253257399105e-7
1250,64,0.01,7,21767613072132574,3605346.570209197,1.1920930376163597e-7,0.09004554152488708
1750,16,0.1,0,21865578815682918,96.68107543529403,1.1920928955078125e-7,1.1920930376163597e-7
1000,64,0.1,4,21889739639719186,38500519.41038043,1.1920930376163597e-7,1.1926891829716624e-7
1500,64,1,5,21919461273797747,10.116671784147094,0.0054019601084291935,0.020477313548326492
1750,16,0.3,2,2207301298013271,1.6179100373547552,1.1920928955078125e-7,1.196027028527169e-7
1750,16,0.1,2,221481589600649,389.29404887063197,1.1920928955078125e-7,1.1920930376163597e-7
750,32,0.01,2,2218016232475819,56275589.29142698,1.1920930376163597e-7,0.7026950716972351
1750,258,1,4,22380439482986192,63020.956070033695,1.192433529695336e-7,2.0799643607460894e-7
750,32,1,7,22387823832166875,11.766731213186487,0.09483429044485092,0.7009636163711548
1750,258,0.1,0,22502302742472824,1139761,1.1920928955078125e-7,1.1920930376163597e-7
1500,16,0.3,2,2257730679628387,1.9923489824528047,1.1920930376163597e-7,1.226067780635276e-7
1000,64,1,1,22681853620141434,35.117957595978424,0.010207002982497215,0.31663116812705994
1500,16,0.3,6,22777072323579206,2.539161668252204,0.0000022360914044838864,0.0000024792350359348347
1000,258,0.03,3,22798343398967003,32019752.18294809,1.1920930376163597e-7,0.012488523498177528
1250,32,0.03,5,22846758447119075,7105635.678229588,1.1920930376163597e-7,3.493560427614284e-7
1500,16,0.03,6,23141236194575698,13788.991520286618,1.1920930376163597e-7,1.1945965638915368e-7
750,128,1,1,23168356724103734,28846543.216135498,1.2016296579986374e-7,0.7078892588615417
1250,128,0.3,2,23194924293686614,14093367.319939695,1.1920930376163597e-7,1.3012888189223304e-7
1250,128,0.01,3,2323269173626037,30621976.349575955,1.1920930376163597e-7,0.6969174742698669
1000,64,0.01,5,23268735891003545,37836783.48950392,1.1920930376163597e-7,0.7002859115600586
1250,32,0.03,0,23374719055513482,23474399.20163355,1.1920930376163597e-7,0.00007138222281355411
1500,258,0.03,8,23508054602014616,7066860.657564562,1.1920930376163597e-7,0.0000028062004275852814
1500,16,0.3,3,23530523453122587,3.4774932933829987,1.1920930376163597e-7,1.2474062316414347e-7
1500,32,0.01,4,23542491726223713,119006.62643830461,1.1920930376163597e-7,0.00007260726852109656
1750,258,0.1,2,23635919992987797,2259487.5,1.1920928955078125e-7,1.1920930376163597e-7
750,258,0.03,8,23705482206889616,44694582.67199055,1.1920930376163597e-7,0.15136133134365082
1500,32,1,1,23817350118165592,2.314893936514058,0.06532490253448486,0.10229828953742981
1750,32,0.01,2,23854962452898754,84512.86652409336,1.1920928955078125e-7,0.000010406300134491175
1750,16,0.1,8,24029157824326786,30.98057373095655,1.1920928955078125e-7,1.1920930376163597e-7
1500,128,0.03,2,24212079917883134,3717153.0568808247,1.1920930376163597e-7,4.890098352916539e-7
1750,128,0.1,0,2422774293591936,2302899.5,1.1920928955078125e-7,1.1920930376163597e-7
1250,128,0.03,3,24385671876315307,29063926.535309967,1.1920930376163597e-7,0.004217321053147316
1000,128,1,1,24513523241605728,18837307.55832178,1.2224914769376483e-7,0.2807716727256775
1000,64,1,4,24737364184722466,43.269270663193154,0.011621457524597645,0.44854462146759033
1250,258,0.03,6,24863811958807847,22110679.36420162,1.1920930376163597e-7,0.0001829120155889541
1750,64,0.1,5,25033631776508924,7351428.35057295,1.1920928955078125e-7,1.1920930376163597e-7
1250,16,0.03,2,2522588281173944,21641.161482672516,1.1920930376163597e-7,1.1984111836227385e-7
1250,258,1,5,2532404027753504,8395803.582765127,1.1920930376163597e-7,0.00035455060424283147
1750,64,0.3,4,25355633594748717,1490614.2570174958,1.1920928955078125e-7,1.3055803549377742e-7
1250,16,0.01,7,2541942841735165,12923.575607827233,1.1920930376163597e-7,2.5927144520210277e-7
1000,64,1,7,25434718162722725,5.5256633691713315,0.060846928507089615,0.2585170865058899
750,64,0.1,2,2545647976051644,53948265.56886559,1.1920930376163597e-7,7.525467253799434e-7
750,16,0.01,0,2546909587311139,15128532.23311472,1.1920930376163597e-7,0.3566339612007141
